診療項目代碼,健保支付點數,開始日期,結束日期,英文項目名稱,中文項目名稱,附註
72024B,0009239,20040701,29101231,Excision of duodenum tumor,十二指腸腫瘤切除,
72025B,0008532,20040701,29101231,Excision or inversion of duodenal diverticulum,十二指腸憩室切除或內翻,
72026B,0011480,20040701,29101231,Closure of duodenal fistula,十二指腸?管閉合,
72027B,0010596,20040701,29101231,Duodenal obstruction,十二指腸阻塞,
72028B,0011912,20040701,29101231,Highly selective vagotomy,高度選擇性迷走神經切斷術,
72029B,0008093,20040701,29101231,Vagotomy,迷走神經切斷術,
72030B,0026231,20040701,29101231,Proximal gastrectomy & esophagectomy & reconstruction,胃賁門及食道切除再造術,
72031B,0027148,20130101,29101231,Gastrectomy, total, with splenectomy or partital pancreatectomy,胃全部切除術併行脾或部份胰切除,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
72032B,0030659,20130101,29101231,Total gastrectomy, with LN dissection, with reconstruction (any type),全胃切除及淋巴清除及腸胃重建,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
72033B,0013717,20040701,29101231,Revision of gastrojejunostomy,胃空腸造口再修正,
72034B,0011940,20040701,29101231,Resection of retained antrum, postgastrectomy,殘留胃竇切除術,
72035B,0019016,20130101,29101231,Gastric partition,胃隔間術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
72036B,0014760,19971101,29101231,Transduodenal sphinteroplasty,經十二指腸括約肌成形術,
72037B,0011370,20040701,29101231,Plication of stomach,胃折疊術,
72038B,0010890,20040701,29101231,Gastropexy for gastric volvulus,胃固定術(胃扭結),
72039B,0012360,19971101,29101231,EPT (endoscopic papillectomy),消化道華達壺腹切開術,
72040B,0012810,20031201,29101231,Belsy’s mark iv anti-reflux procedure,抗胃食道逆流術,
72041B,0020157,20130101,29101231,Laparoscopic gastric partition,腹腔鏡胃隔間手術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
72042B,0012999,20130101,29101231,Gastrotomy-with suture repair of bleeding ulcer,胃切開術－ 潰瘍縫合及止血,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
72043B,0019799,20130101,29101231,Subtotal gastrectomy or hemigastrectomy with gastrojejunostomy-without vagotomy,次全或半胃切除術及胃空腸吻合術－無迷走神經切除,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
72044B,0017414,20130101,29101231,Subtotal gastrectomy or hemigastrectomy with Roux-en-Y gastrojejunostomy -without vagotomy,次全或半胃切除術及胃空腸吻合術  Roux-en-Y 型－無迷走神經切除,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
72045C,0009158,20070101,29101231,Laparoscopic gastrostomy,腹腔鏡胃造廔術,
72046B,0022706,20120101,29101231,Near total gastrectomy, with LN dissection, with reconstruction,95% 胃切除及淋巴清除及腸胃重建,
72047B,0026146,20130101,29101231,Radical subtotal gastrectomy, with reconstruction,次全胃切除及淋巴清除及腸胃重建,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
72048B,0023759,20130101,29101231,Laparoscopic subtotal gastrectomy,腹腔鏡胃亞全切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
72049B,0014423,20070101,29101231,Laparoscopic valgotomy and drainage,腹腔鏡胃迷走神經切斷術合併引流術,
72050B,0008199,20150201,29101231,,內視鏡黏膜切除術,1.適應症：(1)超過2公分無莖型之胃腸道息肉或黏膜病灶。 (2)早期胃腸道癌症(包括食道、胃、十二指腸、大腸、直腸)。 (3)胃腸道黏膜下腫瘤，如類癌(carcinoid)。2.相關規範：不得同時申報之診療項目及編號：28016C、28017C、28030C、28031C、47074C、49014C、47043B、49026C、49023C、73008B、74207C。3.內含一般材料費及拋棄式息肉切除環與先端部固定環費用，得另加計63％。
73,0000250,20070101,29101231,,,註:本項業務自95.1.1起移歸國民健康局管理。
73001B,0011763,20130101,29101231,Enterolysis, freeing adhesion,腸粘連分離術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73002B,0012537,20130101,29101231,Enterolysis-with bowel decompression,腸粘連分離術－ 併行腸減壓,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73003B,0015275,20130101,29101231,Enterolysis-with resection ＆ anastomosis of intestine,腸粘連分離術－ 併有腸切除及吻合,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73004B,0007245,20040701,29101231,Exteriorization of intestine, Mikulicz resection,腸外置術（Mikulicz切除）,
73005B,0010317,20130101,29101231,Reduction of intussusception,腸套疊之還原,1.剖腹治療腸軸扭轉(laparotomy for volrulus)比照申報。2.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73006B,0012126,20040701,29101231,Reduction of intussusception with bowel resection & anastomosis,腸套疊還原及腸切除和吻合,
73007B,0011590,20040701,29101231,Reduction of intussusception with enterostomy or colostomy,腸套疊還原及腸造口或結腸造口,
73008B,0010803,20130101,29101231,Excision, Benign bowel lesion,良性腸病灶切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73009B,0008510,20040701,29101231,Meckel's diverticulectomy,邁克氏憩室切除術,
73010B,0013750,20130101,29101231,Resection of small bowel, with anastomosis,小腸切除術加吻合術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73011B,0011069,20130101,29101231,Colectomy, partial, with anastomosis,結腸部份切除術加吻合術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73012B,0026344,20130101,29101231,Colectomy, radical hemicolectomy with anastomosis, ascending colon,根治性半結腸切除術加吻合術，升結腸,1.根治性橫行結腸切除術(transverse colectomy Redical Hemicolectomy)比照申報。2.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73013B,0020378,20130101,29101231,Left hemicolectomy or sigmoid colectomy,降結腸或乙狀結腸切除術加吻合術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73014B,0026663,20130101,29101231,Left hemicolectomy or sigmoid colectomy with anastomosis with lymph node,降結腸或乙狀結腸切除術併行吻合術及淋巴節清掃,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73015B,0020647,20130101,29101231,Colectomy, total or subtotal - benign,結腸全切或次全切除術 - 良性,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73017B,0024305,20130101,29101231,Colectomy, total with proctectomy, with ileostomy,結腸全切除術併行直腸切除術及迴腸造口,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73018B,0005381,20040701,29101231,Revision of colostomy or enterostomy simple,superficial,單純性結腸造口或腸造口矯正,
73020C,0008630,20130101,29101231,Closure of enterostomy or Colostomy（loop or double-barrel）,蹄形小腸或結腸造?管關閉,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73022B,0009407,20040701,29101231,Enterostomy (including colostomy、Jujunostomy、permanent enterostomy),腸造口術(包括結腸、空腸、永久性小腸),
73023B,0010206,20040701,29101231,Closure of intestinal fistula-Enterocutaneous,小腸?管關閉術 － 小腸與皮膚,
73024B,0010872,20040701,29101231,Closure of intestinal fistula-entero-colic or entero-entero,小腸?管關閉術 － 小腸與結腸（或與小腸）,
73025B,0011740,19971101,29101231,Closure of intestinal fistula-fistula of bowel with other organs or complicated,小腸?管關閉術 － 其他器官或包括合併症,
73026B,0010335,20130101,29101231,Closure of colon fistula-colocutaneous,結腸廔管關閉術 － 結腸與皮膚,1.「廔」，應為病字旁，但電腦無此字。2.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73027B,0010905,20040701,29101231,Closure of colon fistula-gastroclic without gastrectomy,結腸廔管關閉術 － 胃與結腸(不包括胃切除),1.「廔」，應為病字旁，但電腦無此字。
73028B,0012200,20040701,29101231,Closure of colon fistula-gastroclic with gastrectomy,結腸廔管關閉術 － 胃與結腸(包括胃切除),1.「廔」，應為病字旁，但電腦無此字。
73029B,0015227,20130101,29101231,Closure of colon fistula-fistula of colon with other organs or complicated,結腸廔管關閉術 － 結腸與其他器官或合併症,1.「廔」，應為病字旁，但電腦無此字。2.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73030B,0010969,20130101,29101231,Anastomosis of bowel-entero-enterostomy or duodeno-enterostomy,腸吻合術 －小腸與小腸（十二指腸）吻合術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73031B,0013442,20130101,29101231,Anastomosis of bowel-ileo-colostomy,side to side anas.,腸吻合術 － 迴腸與結腸吻合術，有間路法,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73032B,0009312,20120101,29101231,Anastomosis of bowel-for intestinal atresia or stenosis,腸吻合術 － 由小腸閉鎖或狹窄引起,
73033B,0010420,20130101,29101231,Repair of intestinal perforation,小腸穿孔縫補術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73034B,0007094,20040701,29101231,Suture and repair of mesentery,腸系膜之縫合及修補,
73035B,0008219,20040701,29101231,Resection of intestinal polyp,小腸瘜肉切除術,
73036B,0009135,20040701,29101231,Intestinal plication, Noble type,小腸折?術,
73037B,0005420,20040701,29101231,Tube enterostomy or tube cecostomy,管腸造口或管盲腸造口,
73038B,0010660,20120101,29101231,Take down of anastomosis, revision of ileo-colostomy and reconstruction,迴腸結腸吻合處切開及重建術,
73039B,0011599,20130101,29101231,Closure of enterostomy or colostomy anastomosis ,by laparotomy,經由剖腹術行小腸或結腸造?管關閉及吻合,1.關閉Hartmann colostomy比照申報。2.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73040B,0010660,20031201,29101231,Revision of ileasl conduit,迴腸尿液引流袋修正術,
73041B,0005300,20031201,29101231,Antireflux procedure in the intestine,腸反逆流合術,
73042B,0010075,20130101,29101231,Revision of colostomy or enterostomy complicated, deep,複雜性（進入腹腔） 結腸造口或腸造口矯正,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73043B,0017403,20130101,29101231,Laparoscopic adhesionolysis,腹腔鏡腸粘連剝離術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73044B,0006504,20070101,29101231,Laparoscopic jejunostomy,腹腔鏡空腸造廔術,
73045B,0031180,20130101,29101231,Laparoscopic right colectomy and anastomosis,經腹腔鏡右側大腸切除術加吻合術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73046B,0022514,20130101,29101231,Laparoscopic Anterior resection and anastomosis(sigmoid colon resection) - benign,經腹腔鏡乙狀結腸切除術加吻合術 - 良性,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73047B,0023617,20130101,29101231,Colectomy, total or subtotal - malignant,結腸全切或次全切除術 - 惡性,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73048B,0028220,20130101,29101231,Laparoscopic Anterior resection and anastomosis (sigmoid colon resection) - malignant,經腹腔鏡乙狀結腸切除術加吻合術 - 惡性,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
73049B,0198868,20160901,29101231,Isolated small bowel transplantation,小腸移植術,1.適應症：詳見支付標準。2.相關規範：(1)需事前審查。(2)人員及設備資格：執行醫師及醫院須通過衛生福利部（前衛生署）小腸移植執行醫師及醫院資格審核。(3)一般材料費及器官保存液費用，得另加計25%。
73050B,0025970,20160901,29101231,Cadaveric small intestine harvest,屍體小腸摘取術,相關規範：1.執行人員及醫院資格須通過衛生福利部（前衛生署）小腸移植執行醫師及醫院資格審核。2.不得同時申報之診療項目及編號：73010B(小腸切除術加吻合術)。3.一般材料費，得另加計96%。
74001B,0007015,20040701,29101231,Drainage of appendiceal abscess transabdominal,闌尾膿瘍之引流,
74002B,0008507,20130101,29101231,Appendectomy,闌尾切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74003B,0009761,20040701,29101231,Closure of appendiceal fistula,闌尾?管關閉,
74004B,0010208,20130101,29101231,Laparoscopic appendectomy,腹腔鏡闌尾切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74201C,0002303,20130101,29101231,Incision and drainage for periproctal abscess,直腸周圍膿腫之切開引流,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74202C,0002100,20010601,29101231,Rectal incisional biopsy,直腸活體組織切片,針刺切片(needle biopsy)比照辦理。
74203C,0010784,20040701,29101231,Repair of rectal laceration or injury,直腸裂傷或損傷之修補,直腸廔管修補 (Repair of Rectal fistula)比照申請。
74204B,0007552,20040701,29101231,Thiersh or Delorme, Rectopexy by stitches fixation,直腸固定術,
74205B,0030444,20130101,29101231,Radical protectomy with pelvic lymph node dissection,根治性直腸切除術 (含骨盆腔淋巴腺切除術),本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74206B,0018086,20130101,29101231,Harmann operation - benign,Hartmann 氏直腸手術 - 良性,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74207C,0007605,20130101,29101231,Transrectal colonic Polypectomy,經直腸大腸息肉切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74208B,0011705,20040701,29101231,Rectal procidentia, perineal approach ,with resection & anastomosis,直腸脫出根治手術（經會陰接近及吻合）,
74209B,0014620,19971101,29101231,Rectal procidentia, abdominal approach,直腸脫出手術（腹部接近）,Ripstein 方式比照申報。
74210B,0009687,20130101,29101231,Excision, sacrococcygeal tumor, benign,薦骨與尾骨腫瘤切除，良性,1.肛門周圍與直腸周圍腫瘤(including Perianal.Perirectaltumor.)比照申報。2.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74211B,0013557,20130101,29101231,Extensive excision of sacrococcygeal rectal villous adenoma or malignancy,直腸上皮絨毛腺腫廣泛性切除術或癌症局部切除,1.直腸後惡性腫瘤(including retro rectal space tumor)比照申報。2.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74212B,0004994,20040701,29101231,Rectoplasty for stricture or stenosis,直腸狹窄整形術,
74213B,0031258,20130101,29101231,Restorative proctectomy with colo-anal anastomosis,復原性直腸切除以及直腸、肛門吻合術,1.本項不含加做之大腸或小腸造口（not including colostomy or ileostomy）。2.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74214B,0033516,20130101,29101231,Restorative proctocolectomy, pelvic ileal pouch with ileoanal anastomosis,復原性大腸直腸切除迴腸儲存袋以及迴腸肛門吻合術,1.本項不含加做之小腸造口（not including ileostomy）。2.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74215B,0014751,20130101,29101231,Closure fistula,reco-vesical,直腸膀胱廔管切除術,1.經腹腔做的直腸陰道廔管(transabdominal closure of rectovaginal fistula)比照辦理。2.「廔」，應為病字旁，但電腦無此字。3.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74216B,0032737,20130101,29101231,Combined abdomino perineal resection for rectal cancer,直腸癌腹部會陰聯合切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74217B,0025586,20040701,29101231,Proctosigmoidectomy with pull through colon anal anastomosis,乙狀結腸及直腸切除後 Pull through 方法行直腸肛門吻合術,
74219B,0011289,20130101,29101231,Posterior proctotomy, transacrococcygeal excision of benign lesion,經尾骨由直腸後部切開行良性病灶切除方法,1.含Kraske和Mason手術方式。2.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74220B,0013397,20130101,29101231,Posterior proctotomy, transacrococcygeal resection of malignant tumor,經尾骨由直腸後部切開行直腸癌切除方法,1.含Kraske和Mason手術方式。2.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74222B,0029911,20040701,29101231,Proctosigmoidectomy with pull through colon anal anastomosis,reconstruction with colonic pouch,乙狀結腸及直腸切除後 Pull through 方法行結腸造袋及結腸袋肛門吻合術,
74223B,0019227,20130101,29101231,Harmann operation - malignant,Hartmann氏直腸手術 - 惡性,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74401C,0002795,20130101,29101231,Fistulotomy or fistulectomy,simple, subcutaneous,皮下廔管切開術或切除術,1.指低位之括約肌間廔管。2.「廔」，應為病字旁，但電腦無此字。3.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74402C,0001606,20040701,29101231,Sphincterotomy,anal,肛門括約肌切開術,
74403C,0001938,20040701,29101231,Fissurectomy or ulcerectomy, anal,肛門裂縫切除術或潰瘍切除術,併或不併且肛門括約肌切開 (with or without anal sphincterotomy)。
74404C,0001476,20040701,29101231,Cryptectomy-single,隱窩切除術 － 單一,
74405C,0002084,20040701,29101231,Cryptectomy-multiple,隱窩切除術 － 多數,
74406C,0002900,20130101,29101231,Hemorrhoidectomy, external,外痔完全切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74407C,0003340,19971101,29101231,Hemorrhoidectomy, partial, internal & external,內外痔部份切除術,
74408C,0001255,20040701,29101231,Papillectomy anal-single,肛門乳突切除術 － 單一,
74409C,0001647,20040701,29101231,Papillectomy anal-multiple,肛門乳突切除術 － 多數,
74410C,0006660,19971101,29101231,Hemorrhoidectomy, internal & external,內外痔完全切除術,含脫肛治療  (including repair of prolaps anus)
74411C,0006178,20130101,29101231,Anal fistulectomy or fistulotomy with hemorrhoidectomy,肛門廔切除或切開術併痔瘡切除,1.「廔」，應為病字旁，但電腦無此字。2.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74412C,0001725,20130101,29101231,Thrombectomy, external hemorrhoid,外痔血栓切除,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74413B,0010906,20040701,29101231,Anoplasty for stricture or imperforate,肛門狹窄整形術,
74414B,0015307,20040701,29101231,Sphincteroplasty for anal incontinence,肛門括約肌失禁整形術,
74415B,0005044,20040701,29101231,Removal of Karlex sponge s/p APR,APR術後Karlex海棉除去術,
74416C,0002130,20130101,29101231,Check anal or colon bleeding,結腸肛門止血術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
74417C,0002534,20040701,29101231,Internal hemorrhoid ligation,內痔結紮,
74418B,0010777,20040701,29101231,Anal reconstruction or anoplasty with S-pedicle graft,肛門重建或整形術以S形蒂狀移植,
74419B,0006872,20040701,29101231,Levator plication procedure,提肛肌折疊術,直腸突出修補(Transanal rectocele repair)比照申報。
74420C,0004937,20130101,29101231,Fistulotomy or fistulectomy,complicated, subcutaneous,複雜性皮下廔管切開術或切除術,1.指如高位之括約肌間廔管，穿括約肌間廔管，馬蹄形廔管，括約肌上及提肛肌上廔管。2.「廔」，應為病字旁，但電腦無此字。3.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75,0000250,20100101,29101231,,,註:本項業務自95.1.1起移歸國民健康局管理。修改文字
75001B,0010973,20130101,29101231,Wedge biopsy of liver, laparotomy,楔狀活體切片（剖腹探查術）,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75002B,0019186,20130101,29101231,Partial hepatectomy,肝部分切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75003B,0022043,20130101,29101231,Segemental hepatectomy- one segement,肝區域切除術－ 一區域,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75004B,0023816,20130101,29101231,Segemental hepatectomy- two segements,肝區域切除術  －  二區域,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75005B,0036062,20130101,29101231,Segemental hepatectomy- three segements,肝區域切除術  －  三區域,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75006B,0011031,20130101,29101231,Drainage or marsupialization of cyst or abscess of liver,肝囊腫或肝膿瘍引流或造袋術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75007B,0012320,20130101,29101231,Hepatorrhaphy, suture of liver wound < 5cm,縫肝術（肝損傷縫合，小於5公分）,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75008B,0014410,19971101,29101231,Hepatorrhaphy, with common duct or gallbladder drainage,縫肝術及總膽管或膽囊之引流術,
75009B,0013531,20130101,29101231,Hepatorrhaphy, suture of liver wound,complicated or >5cm,縫肝術（複雜肝損傷之縫合或大於5公分）,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75010B,0011449,20040701,29101231,Hepatic artery ligation for liver bleeding,肝動脈結紮,
75011B,0018320,20040701,29101231,Hepato-Enterostomy (Longmire Op.),肝腸吻合,
75012B,0017330,19971101,29101231,Portocavo shunt (H-graft),肝門靜脈分流術,
75014B,0017391,20040701,29101231,Warren's shunt,Warren氏分流術,
75015B,0030445,20130101,29101231,Right lobectomy,右肝葉切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75016B,0027114,20130101,29101231,Left lobectomy,左肝葉切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75017B,0043966,20130101,29101231,Extended right lobectomy,擴大右肝葉切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75018B,0043192,20130101,29101231,Extended left lobectomy,擴大左肝葉切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75019B,0013980,20040701,29101231,Hepaticotomy or hepaticostomy, Removal of Calculus,切肝取石術,
75020B,0248552,20160901,29101231,Liver(Hepatic) transplantation,肝臟移植,詳見支付標準
75021B,0035500,20040701,29101231,Cadaveric liver harvest(donor hepatectomy),屍體捐肝摘取,詳見支付標準
75022B,0042600,20040701,29101231,Partial hepatectomy for livingrelated liver transplantation,活體捐肝摘取,註:不得加計急診加成。
75023B,0013236,20130101,29101231,Laparoscopic fenestration for hepatic cyst,腹腔鏡肝臟囊腫去頂術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75201B,0008562,20040701,29101231,Cholecystostomy,膽囊造?術,
75202B,0012524,20120101,29101231,Choledocholithotomy (transduodenal),膽管截石術（經十二指腸）,
75203B,0013644,20130101,29101231,Cholecystectomy,膽囊切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75204B,0015778,20130101,29101231,Choledochojejunostomy,總膽管空腸吻合術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75205B,0010800,20040701,29101231,Cholecystoenterostomy,膽囊消化管吻合術,
75206B,0014470,20120101,29101231,Total excision of common bile duct with reconstruction,總膽管全切除術,
75208B,0015416,20130101,29101231,Choledochotomy with T-tube drainage,總膽管切開及Ｔ形管引流,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75209B,0023859,20130101,29101231,Choledocholithotomy with T-tube drainage,總膽管切開摘石術及Ｔ形管引流,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75210B,0014800,19971101,29101231,Choledochoplasty,膽管成形術,
75211B,0004378,20040701,29101231,Biopsy of biliary tract,膽道組織檢查切片術,
75212B,0013860,20040701,29101231,Choledochoduodenostomy,總膽管十二指腸吻合術,
75213B,0015900,19971101,29101231,Plasty of extrahepatic bile duct,肝外膽管成形術,
75214B,0013259,20040701,29101231,Closure of biliary fistula,肝?管縫合術,
75215B,0015008,20130101,29101231,Laparoscopic cholecystectomy,腹腔鏡膽囊切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75216B,0013259,20130101,29101231,ROUX-EN-Y hepaticojejunostomy,ROUX-EN-Y 總肝管腸吻合術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75218B,0017511,20130101,29101231,Laparoscopic choledocholithotripsy,腹腔鏡膽管截石術,1.經T-tube者比照申報。2.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75401B,0007983,20040701,29101231,Drainage of pancreatic abscess or cyst or pancreatitis,胰臟膿瘍或胰炎引流術,
75402B,0007956,20040701,29101231,Pancreas incisional biopsy,胰組織檢查切片,
75403B,0011678,20040701,29101231,Excision or enucleation of pancreatic tumor or cyst,胰臟腫瘤或囊腫切除或摘除術,
75404B,0013184,20130101,29101231,Distal partial pancreatectomy,胰臟尾端部分切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75405B,0015848,20130101,29101231,Body partial pancreatectomy,胰臟體部分切除術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75406B,0011800,19971101,29101231,Pancreatic fistulectomy,胰?切除術,
75407B,0011738,20040701,29101231,Anastomosis of pancreatic cyst to GI tract direct internal drainage,胰囊腫至腸胃道之內部直接引流吻合術,
75408B,0016254,20130101,29101231,Anastomosis of pancreatic cyst to GI tract directinternal drainage (Roux-en-Y),胰囊腫至腸胃道之Y型內部吻合術,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75409B,0010920,19971101,29101231,Removal pancreatic calculus,胰臟結石去除術,
75410B,0014200,19971101,29101231,Pancreatectomy subtotal,胰臟次全切除術,Puestow procedure
75411B,0021260,19971101,29101231,Total pancreatectomy (95%),胰臟全切除術,
75412B,0045670,20130101,29101231,Pancreatico-duodenectomy, Whipple type,with reconstruction,Whipple 氏胰、十二指腸切除術,1.包括部份胃切除(Including Partial Gastrectomy)。2.本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75413B,0015151,20040701,29101231,Pancreatico-Jejunostomy,胰臟空腸吻合術,以 end to end 或 side to side 術式實施。
75414B,0010666,20040701,29101231,Marsupialization of pancreatic cyst,胰囊腫造袋術,
75415B,0013291,20120101,29101231,Distal partial pancreatectomy - spleen preservation,胰臟尾端部分切除術-脾臟保留,
75416B,0012810,20120101,29101231,Body partial pancreatectomy - spleen preservation,胰臟體部分切除術-脾臟保留,
75417B,0045670,20130101,29101231,Pancreatico-duodenectomy, Whipple type,with reconstruction (pylorus sparing whipple op),Whipple 氏胰、十二指腸切除術  幽門保留式,本項102年支付標準調整按衛生福利部1031260015號函公告，西醫基層自103年1月1日起實施。
75418B,0178634,20160901,29101231,Cadaver Pancreas Transplant,屍體胰臟器官移植,1.施行本項及75419B手術之醫院及醫師條件應報請中央衛生主管機關核定，並向保險人申請核備，如醫院條件變更或主持醫師異動時，仍應重行報請核定。2.不得加計急診加成。3.胰臟捐贈者若為非保險對象，其捐贈者摘取所需之檢查費、手術費、麻醉費、手術材料費由健保給付，而ICU費用及藥品費則僅給付施行摘取手術當日之費用。4.施行本項適應症如下(詳支付標準)，並應由醫院申報事前審查。5.一般材料費及器官保存液費用，得另加計72％。
75419B,0108313,20160901,29101231,Pancreas Harvest,屍體捐胰摘取,註：一般材料費，得另加計38％。
